"As U.S. budget fight looms, Republicans flip their fiscal script",real,real
Racist Alabama Cops Brutalize Black Boy While He Is In Handcuffs (GRAPHIC IMAGES),fake,fake
"Trump Said Some INSANELY Racist Stuff Inside The Oval Office, And Witnesses Back It Up",real,fake
"Trump Said Some INSANELY Racist Stuff Inside The Oval Office, And Witnesses Back It Up",fake,fake
"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",real,real
"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",fake,real
"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",fake,real
Trump Spent The Night Retweeting A White Supremacist Convicted Criminal,fake,fake
India got Independence in 2021,fake,fake
Big Bang theory was written by Leonardo Da Vinci,fake,fake
